id,action,value,created_at,user_id
2279,enter_store,สมใจ ลูกชิ้นทอด,2018-02-27 13:16:31.984832+00,101
2280,enter_store,น้องแนนหมูปิ้ง,2018-02-27 13:16:51.095824+00,101
2281,enter_store,ข้าวแกงชุดอิ่มอร่อย,2018-02-27 13:17:00.017923+00,101
2282,enter_store,ปังเย็น,2018-02-27 13:17:20.556819+00,101
2283,enter_store,ศิริรัตน์ โจ้ก ข้าวต้ม,2018-02-27 13:17:43.126322+00,101
2284,enter_store,ผัดไท หอยทอด ลาดหน้า,2018-02-27 13:17:52.304563+00,101
2285,enter_store,ผัดไท หอยทอด ราดหน้า,2018-02-27 13:17:52.424089+00,101
2286,เพิ่มเข้าตะกร้า,ผัดไทกุ้งสด,2018-02-27 13:18:39.759735+00,101
2287,enter_store,ANWAR BURGER,2018-02-27 13:18:49.208635+00,101
2288,เพิ่มเข้าตะกร้า,โรตีไข่,2018-02-27 13:18:57.04156+00,101
2289,เพิ่มเข้าตะกร้า,โรตีธรรมดา,2018-02-27 13:18:58.436611+00,101
2290,enter_store,แชมป์ฮั้งเพ้ง,2018-02-27 13:19:25.550394+00,101
2291,เพิ่มเข้าตะกร้า,ก๋วยเตี๋ยวหมูน้ำตก,2018-02-27 13:19:35.399171+00,101
2292,enter,โต้รุ่ง checkout,2018-02-27 13:19:39.687653+00,101
2293,search_cate,สเต็ก,2018-02-27 13:20:13.445767+00,101
2294,search_cate,อาหารไทย,2018-02-27 13:20:18.668421+00,101
2295,enter,home,2018-02-27 13:20:45.25964+00,101
2296,search_cate,อาหารไทย,2018-02-27 13:20:48.905666+00,101
2297,enter_store,แชมป์ฮั้งเพ้ง,2018-02-27 13:20:54.277765+00,101
2298,enter,โต้รุ่ง checkout,2018-02-27 13:21:00.00623+00,101
2299,ใช้โค้ด,37,2018-02-27 13:21:21.303235+00,101
2300,สั่งอาหาร,113,2018-02-27 13:23:08.870104+00,101
2301,enter,home,2018-02-27 13:25:38.501825+00,101
2302,enter,home,2018-02-27 13:32:20.711124+00,101
2303,enter,home,2018-02-27 13:39:43.204612+00,101
2304,enter,home,2018-02-27 13:42:48.495132+00,101
2305,enter,home,2018-02-27 13:45:20.803122+00,101
2306,enter,home,2018-02-27 13:49:59.321377+00,101
2307,enter,home,2018-02-27 13:50:21.179305+00,101
2308,enter,home,2018-02-27 14:08:53.683744+00,103
2309,enter,home,2018-02-27 14:09:09.702191+00,103
2310,enter,โรงอาหารโต้รุ่ง,2018-02-27 14:09:13.281494+00,103
2311,enter_store,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,2018-02-27 14:09:37.567142+00,103
2314,enter,home,2018-02-27 14:37:12.646877+00,56
2315,enter,โรงอาหารโต้รุ่ง,2018-02-27 14:37:15.076675+00,56
2316,enter_store,พินิจโต้รุ่ง,2018-02-27 14:37:32.866566+00,56
2317,enter_store,ตำยำย่าง อาหารอีสาน ลาบยโส,2018-02-27 14:38:03.357081+00,56
2318,เพิ่มเข้าตะกร้า,ตำป่า ตำซั่ว ตำมั่ว ตำหมูยอ ตำไข่เค็ม ตำมะม่วง,2018-02-27 14:38:07.274084+00,56
2319,enter,home,2018-02-27 14:38:17.289413+00,56
2320,enter,โรงอาหารโต้รุ่ง,2018-02-27 14:38:22.084184+00,56
2321,enter_store,น้องแนนหมูปิ้ง,2018-02-27 14:38:34.829428+00,56
2322,เพิ่มเข้าตะกร้า,ตับไก่,2018-02-27 14:38:40.988188+00,56
2323,เพิ่มเข้าตะกร้า,ข้าวเหนียว,2018-02-27 14:38:50.116391+00,56
2324,เพิ่มเข้าตะกร้า,ปีกไก่,2018-02-27 14:39:01.863405+00,56
2325,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม,2018-02-27 14:39:22.565525+00,56
2326,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม,2018-02-27 14:39:32.059756+00,56
2327,enter_store,ปังเย็น,2018-02-27 14:39:48.737683+00,56
2328,enter,home,2018-02-27 14:40:39.953727+00,56
2329,enter,โรงอาหารโต้รุ่ง,2018-02-27 14:40:42.982081+00,56
2330,enter_store,ตำยำย่าง อาหารอีสาน ลาบยโส,2018-02-27 14:41:12.071974+00,56
2331,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม,2018-02-27 14:41:32.702354+00,56
2332,enter_store,น้องแนนหมูปิ้ง,2018-02-27 14:41:48.383803+00,56
2333,เพิ่มเข้าตะกร้า,ปีกไก่,2018-02-27 14:41:52.933082+00,56
9609,enter,home,2018-04-19 22:58:59.858377+00,255
9627,enter_store,"4,อาหารอิสลาม Halal Food",2018-04-20 10:05:01.624166+00,255
9660,enter,home,2018-04-20 10:13:06.896774+00,255
9677,click recommended menu,update QTable,2018-04-20 10:53:26.410956+00,258
2334,enter,โต้รุ่ง checkout,2018-02-27 14:41:58.595708+00,56
2335,สั่งอาหาร,114,2018-02-27 14:47:33.55181+00,56
2336,enter,home,2018-02-27 14:47:41.010918+00,56
2337,enter,home,2018-02-27 15:10:20.402493+00,23
2338,enter,โรงอาหารโต้รุ่ง,2018-02-27 15:10:29.826581+00,23
2339,enter_store,น้องแนนหมูปิ้ง,2018-02-27 15:10:45.347918+00,23
2340,enter_store,สมใจ ลูกชิ้นทอด,2018-02-27 15:11:05.490389+00,23
2341,enter_store,พินิจโต้รุ่ง,2018-02-27 15:11:29.745798+00,23
2342,enter,home,2018-02-27 16:48:36.419258+00,104
2343,enter_store,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,2018-02-27 16:49:07.533108+00,104
2344,กรอกประวัติความหิว,KochananWongsomboon,2018-02-27 16:50:45.820859+00,104
2345,enter,home,2018-02-27 16:50:52.997597+00,104
2346,search_cate,delivery,2018-02-27 16:51:50.640099+00,104
9443,enter,โรงอาหารโต้รุ่ง,2018-04-17 02:53:51.142663+00,54
2348,enter,home,2018-02-28 00:37:28.101266+00,93
2349,enter,home,2018-02-28 01:59:54.643722+00,41
9693,enter,home,2018-04-20 11:47:10.442888+00,18
2355,enter,home,2018-02-28 10:23:29.858876+00,105
2356,search_cate,delivery,2018-02-28 10:24:20.205052+00,105
2357,enter,home,2018-02-28 10:24:32.353277+00,39
2358,enter,home,2018-02-28 10:26:34.801377+00,105
